sep=,
id,extension,content_type,source_size,compressed_size,freq_time,bincode_time,compress_time,decompress_time,is_identical
0,.r3ZVr7EpoSQRNSMw-YtzD,0,0,2088,0.000,0.000,0.000,0.000,1
1,.VGpRVHlcw67Ji_eJgCZR,0,0,2088,0.000,0.000,0.000,0.000,1
2,.ytof08_XYlAXMxp5PubqpZuwaBI,0,0,2088,0.000,0.000,0.000,0.000,1
3,.Q,0,0,2088,0.000,0.000,0.000,0.000,1
4,.uacwZinsNLhbmM790IW8JY,0,0,2088,0.000,0.000,0.000,0.000,1
5,.OP,1,1,2089,0.000,0.000,0.000,0.000,1
6,.cfr7,1,1,2089,0.000,0.000,0.000,0.000,1
7,.C5cNdxY,1,1,2089,0.000,0.000,0.000,0.000,1
8,.3t567XYKDY,1,1,2089,0.000,0.000,0.000,0.000,1
9,.YiU8_33,1,1,2089,0.000,0.000,0.000,0.000,1
10,.hw6rZ7G,2,26557455,3321770,0.104,0.000,0.131,0.205,1
11,.gr1F9I-KPxo,2,16192384,2026136,0.066,0.000,0.087,0.121,1
12,.a4vHz,2,11680330,1462130,0.045,0.000,0.051,0.062,1
13,.cdr_1umFE,2,10497577,1314286,0.038,0.000,0.051,0.062,1
14,.Kva4,2,34050512,4258402,0.126,0.000,0.158,0.219,1
15,.9ENJD5X,2,11111367,1391009,0.041,0.000,0.053,0.062,1
16,.IxrLyXQaM0,2,1269900,160826,0.005,0.000,0.006,0.006,1
17,.-Qw8B,2,48254765,6033934,0.178,0.000,0.226,0.328,1
18,.XSto,2,14924957,1867708,0.052,0.000,0.062,0.085,1
19,.PWehyexmrhcHdH,2,1578907,199452,0.006,0.000,0.008,0.011,1
20,.o,3,38377075,4799223,0.092,0.000,0.179,0.417,1
21,.B818,3,49612147,6203607,0.120,0.000,0.229,0.495,1
22,.ur38hF,3,45367280,5672998,0.110,0.000,0.212,0.537,1
23,.vDxWMr4Gs4G0TvjeaSTBU5gU,3,20256935,2534205,0.050,0.000,0.089,0.198,1
24,.Qbk9IPvj,3,2963317,372503,0.009,0.000,0.015,0.028,1
25,.fvVSA0S7m,3,49738849,6219445,0.125,0.000,0.282,0.555,1
26,.YP4_W7C7Q_,3,13627462,1705521,0.035,0.000,0.058,0.142,1
27,.3t4FCOOTnyqppfHkC6Kn,3,25180544,3149656,0.058,0.000,0.118,0.266,1
28,.wQWDrZSN,3,6883427,862517,0.017,0.000,0.032,0.071,1
29,.KkgEGjRsaCke7wfb9HGliPPrwE,3,48264853,6035195,0.118,0.000,0.228,0.484,1
30,.Jv8FO4c6y_otONaF7m1,4,33765272,33685955,0.058,0.000,0.289,2.338,1
31,.KQKtB5pGWcal,4,40144887,40048966,0.074,0.000,0.392,2.595,1
32,.ncO6ffFRm,4,22110207,22058990,0.036,0.000,0.219,1.536,1
33,.y,4,39262704,39170136,0.073,0.000,0.527,3.533,1
34,.rRwO5TffiBfDTe3t8szMhu,4,26913045,26869135,0.047,0.000,0.273,1.795,1
35,.yGeMPSQxsVA8BxVBiCLi5URf,4,19549038,19499223,0.029,0.000,0.187,1.372,1
36,.veCuPwwy,4,19500371,19447708,0.030,0.000,0.167,1.309,1
37,.oa,4,21837964,21781402,0.044,0.000,0.251,1.470,1
38,.dUVSM_t8569P3ZUuu23ZuwXREz,4,47235625,47156987,0.084,0.000,0.496,3.258,1
39,.6SNFT1driJcBp,4,41970045,41885037,0.090,0.000,1.115,3.324,1
40,.HgNI-c325hEzNAXv_64c,4,3045293,3040316,0.006,0.000,0.029,0.201,1
41,.FT80,4,10694712,10671670,0.019,0.000,0.107,0.758,1
42,.0ojeXl-XPNS4TPgR-s,4,5303823,5283736,0.010,0.000,0.056,0.405,1
43,.J2GACYwMCzZsQ41Ss_RrbGCG_2,4,35352520,35275850,0.069,0.000,0.345,3.074,1
44,.pkA0,4,23986617,23940391,0.049,0.000,0.254,1.859,1
45,.L7LsLdHdPLPHGIzRJ,4,18157575,18124199,0.032,0.000,0.176,1.202,1
46,.sXHRSf1tGqj-IE3blVKOLmT9ahj,4,7147881,7134046,0.013,0.000,0.059,0.580,1
47,.T39J7OMhlAn-CMg5bi4kKJsQp,4,46494270,46387103,0.102,0.000,0.507,3.423,1
48,.Lej,4,31413201,31323260,0.072,0.000,0.320,2.083,1
49,.bWh4_2,4,27548074,27481225,0.046,0.000,0.267,2.056,1
50,.vMY8kfJrRvUbS5Q,4,9298560,9277663,0.015,0.000,0.087,0.707,1
51,.UgwVXtGgWUmA30EprEM,4,9026405,9008384,0.015,0.000,0.077,0.638,1
52,.lh4Azr8,4,1380952,1380049,0.004,0.000,0.012,0.106,1
53,.2,4,4432991,4426013,0.009,0.000,0.076,0.414,1
54,.1cffyz56rwGBNf6mXTmI,4,47071194,46975600,0.099,0.000,0.657,3.373,1
55,.oKWKcKANHnQrISC4ykb78G,4,39768962,39652108,0.095,0.000,0.443,2.941,1
56,.OYeMqJyWCnswZzSe0wx,4,43709941,43607984,0.127,0.000,0.456,3.348,1
57,.qQsd,4,8484735,8467141,0.016,0.000,0.086,0.591,1
58,.vFOEdVW,4,7776259,7764104,0.021,0.000,0.103,0.541,1
59,.esjQDrewpmk61BXX9Kdk8b1yLCL,4,10801343,10778708,0.018,0.000,0.116,0.836,1
60,.KPoPx79IpvQDWNJf,5,40457228,25003884,0.109,0.000,0.338,1.792,1
61,.nRIuFXQ,5,34595205,32038124,0.057,0.000,0.383,2.251,1
62,.Ed063G,5,34370296,26756333,0.067,0.000,0.288,2.027,1
63,.rymjSEfm5-osDFb2A-gZA,5,28019771,17334017,0.070,0.000,0.226,1.492,1
64,.GB8xTgOx0,5,7439141,6975146,0.019,0.000,0.083,0.636,1
65,.kxrPc7_8Y,5,27912806,25442877,0.047,0.000,0.276,1.877,1
66,.kkbAluWE-x,5,44387451,39300313,0.098,0.000,0.431,2.829,1
67,.-b6vIA,5,898232,796047,0.002,0.000,0.010,0.057,1
68,.4jJVsgH_EcLGuYlNYfDa-Ml,5,1482348,1392783,0.003,0.000,0.014,0.099,1
69,.3lIGJ44A7Dz7HpgR,5,29778769,26361131,0.049,0.000,0.293,1.987,1
70,.eVB6F,5,14203453,13122336,0.047,0.000,0.230,1.422,1
71,.AK,5,39822021,36246348,0.083,0.000,0.506,2.487,1
72,.FUP,5,28161650,26065020,0.053,0.001,0.284,2.099,1
73,.NX-lI,5,49332941,46272796,0.160,0.000,0.533,3.331,1
74,.QydbV5EuB,5,734583,681928,0.001,0.000,0.005,0.048,1
75,.XZReL5914fGtU5uRS9naaHqy2DD,5,47740060,44163974,0.087,0.000,0.530,3.150,1
76,.WXomGLADKytX7VkXPipFMQl3DG5,5,2549167,2258199,0.005,0.000,0.029,0.158,1
77,.qW,5,37558482,34204511,0.069,0.000,0.366,2.316,1
78,.hsYbqnk-,5,37076511,32846846,0.067,0.000,0.346,2.487,1
79,.dAuRTBKlf-ts7d4V,5,11951739,10580223,0.026,0.000,0.104,1.128,1
80,.Z5u_vlgLiHF0evGO6f,5,32413912,30023140,0.061,0.000,0.554,2.244,1
81,.x1AMT,5,3233257,2868387,0.006,0.000,0.026,0.188,1
82,.vsr-A1aO1q5xNhc6fixuu20,5,20381948,18547246,0.039,0.000,0.189,1.315,1
83,.lu7LkqTZ4zr2tzVCznlJzl,5,51463718,46829548,0.086,0.000,0.536,3.063,1
84,.4YfDgcdoMBzfI1,5,38914013,30332405,0.073,0.000,0.347,1.981,1
85,.uZHiSuD1Ddx6Cy,5,32626582,25402990,0.065,0.000,0.289,1.697,1
86,.FtItM3SePweYOt9xZ,5,36257013,32068875,0.061,0.000,0.329,2.156,1
87,.R_VceHv8,5,12274778,9542686,0.024,0.000,0.108,0.648,1
88,.R_DBb90scw64aUze0cVM23kCrSn,5,39229233,35745126,0.067,0.000,0.382,2.269,1
89,.VTrbW1ZYKW-Qqc54nEiX-nAnN88,5,49250268,41599086,0.091,0.000,0.433,2.823,1
90,.gRXp0_HoJHfOI4BJ1Zn6,6,9418390,9397197,0.018,0.000,0.074,0.624,1
91,.VT2kK54Hla_vyg,6,35618733,35532777,0.079,0.000,0.342,2.707,1
92,.CLH6dw1ZGkM8fSYUoHFoYxX,6,17943590,17902969,0.041,0.000,0.196,1.200,1
93,.cAA,6,18872236,18812123,0.033,0.000,0.162,1.236,1
94,.crccQN8v,6,16060126,16015166,0.025,0.000,0.147,1.006,1
95,.nIdkry3JfqTvE-REZ8bXHAuI,6,46266859,46160227,0.087,0.000,0.449,3.119,1
96,.9V,6,16629898,16601538,0.027,0.000,0.135,1.173,1
97,.BhWljaPX5Wl183DQG9_56,6,48864824,48734195,0.078,0.000,0.465,3.305,1
98,.hyTiRfTNTUGCEH,6,42656668,42604082,0.070,0.000,0.388,2.833,1
99,.EwSuAHpPrct7,6,23819094,23768121,0.037,0.000,0.212,1.578,1
